2021/02/07 19:09:14 [error] 12#12: *2311 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: errors in /var/www/src/Libraries/AccessManager.php on line 79" while reading response header from upstream, client: 172.28.0.1, server: api.cantabria-labs.local, request: "GET /sales/export?sort=-Sales.created_at&page%5Bnumber%5D=1&page%5Bsize%5D=100000 HTTP/1.1", upstream: "fastcgi://172.28.0.3:9000", host: "api.cantabria-labs.local", referrer: "https://localhost:4201/app/sales"
2021/02/07 19:35:07 [error] 12#12: *2414 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: errors in /var/www/src/Libraries/AccessManager.php on line 79" while reading response header from upstream, client: 172.28.0.1, server: api.cantabria-labs.local, request: "GET /sales/9?include=product,pictures,rejection_reason HTTP/1.1", upstream: "fastcgi://172.28.0.3:9000", host: "api.cantabria-labs.local"
2021/02/07 19:48:19 [error] 12#12: *2468 FastCGI sent in stderr: "PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373" while reading response header from upstream, client: 172.28.0.1, server: api.cantabria-labs.local, request: "GET /roles?fields[roles]=id,name&sort=Roles.name&page[size]=1000 HTTP/1.1", upstream: "fastcgi://172.28.0.3:9000", host: "api.cantabria-labs.local", referrer: "https://localhost:4201/app/users"
2021/02/08 08:30:01 [error] 15#15: *2514 FastCGI sent in stderr: "PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373" while reading response header from upstream, client: 172.28.0.1, server: api.cantabria-labs.local, request: "GET /roles?fields[roles]=id,name&sort=Roles.name&page[size]=1000 HTTP/1.1", upstream: "fastcgi://172.28.0.3:9000", host: "api.cantabria-labs.local", referrer: "https://localhost:4201/app/users"
2021/02/08 09:07:21 [error] 12#12: *2581 FastCGI sent in stderr: "PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373" while reading response header from upstream, client: 172.28.0.1, server: api.cantabria-labs.local, request: "GET /roles?fields[roles]=id,name&sort=Roles.name&page[size]=1000 HTTP/1.1", upstream: "fastcgi://172.28.0.3:9000", host: "api.cantabria-labs.local", referrer: "https://localhost:4201/app/users"
2021/02/08 09:07:26 [error] 12#12: *2593 FastCGI sent in stderr: "PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373" while reading response header from upstream, client: 172.28.0.1, server: api.cantabria-labs.local, request: "GET /roles?fields[roles]=id,name&sort=Roles.name&page[size]=1000 HTTP/1.1", upstream: "fastcgi://172.28.0.3:9000", host: "api.cantabria-labs.local", referrer: "https://localhost:4201/app/users"
2021/02/08 09:08:11 [error] 15#15: *2605 FastCGI sent in stderr: "PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373" while reading response header from upstream, client: 172.28.0.1, server: api.cantabria-labs.local, request: "GET /roles?fields[roles]=id,name&sort=Roles.name&page[size]=1000 HTTP/1.1", upstream: "fastcgi://172.28.0.3:9000", host: "api.cantabria-labs.local", referrer: "https://localhost:4201/app/users"
2021/02/08 09:09:28 [error] 12#12: *2636 FastCGI sent in stderr: "PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373" while reading response header from upstream, client: 172.28.0.1, server: api.cantabria-labs.local, request: "GET /roles?fields[roles]=id,name&sort=Roles.name&page[size]=1000 HTTP/1.1", upstream: "fastcgi://172.28.0.3:9000", host: "api.cantabria-labs.local", referrer: "https://localhost:4201/app/users"
2021/02/08 09:10:57 [error] 12#12: *2663 FastCGI sent in stderr: "PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373" while reading response header from upstream, client: 172.28.0.1, server: api.cantabria-labs.local, request: "GET /roles?fields[roles]=id,name&sort=Roles.name&page[size]=1000 HTTP/1.1", upstream: "fastcgi://172.28.0.3:9000", host: "api.cantabria-labs.local", referrer: "https://localhost:4201/app/users"
2021/02/08 09:12:03 [error] 15#15: *2695 FastCGI sent in stderr: "PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373" while reading response header from upstream, client: 172.28.0.1, server: api.cantabria-labs.local, request: "GET /roles?fields[roles]=id,name&sort=Roles.name&page[size]=1000 HTTP/1.1", upstream: "fastcgi://172.28.0.3:9000", host: "api.cantabria-labs.local", referrer: "https://localhost:4201/app/users"
2021/02/08 09:25:17 [error] 15#15: *3032 FastCGI sent in stderr: "PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373" while reading response header from upstream, client: 172.28.0.1, server: api.cantabria-labs.local, request: "GET /roles?fields[roles]=id,name&sort=Roles.name&page[size]=1000 HTTP/1.1", upstream: "fastcgi://172.28.0.3:9000", host: "api.cantabria-labs.local", referrer: "https://localhost:4201/app/users"
2021/02/08 09:26:30 [error] 12#12: *3063 FastCGI sent in stderr: "PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373" while reading response header from upstream, client: 172.28.0.1, server: api.cantabria-labs.local, request: "GET /roles?fields[roles]=id,name&sort=Roles.name&page[size]=1000 HTTP/1.1", upstream: "fastcgi://172.28.0.3:9000", host: "api.cantabria-labs.local", referrer: "https://localhost:4201/app/users"
2021/02/08 09:27:42 [error] 15#15: *3101 FastCGI sent in stderr: "PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373" while reading response header from upstream, client: 172.28.0.1, server: api.cantabria-labs.local, request: "GET /roles?fields[roles]=id,name&sort=Roles.name&page[size]=1000 HTTP/1.1", upstream: "fastcgi://172.28.0.3:9000", host: "api.cantabria-labs.local", referrer: "https://localhost:4201/app/users"
2021/02/08 09:28:45 [error] 12#12: *3139 FastCGI sent in stderr: "PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373
PHP message: PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/src/Libraries/JsonApi/Resource.php on line 373" while reading response header from upstream, client: 172.28.0.1, server: api.cantabria-labs.local, request: "GET /roles?fields[roles]=id,name&sort=Roles.name&page[size]=1000 HTTP/1.1", upstream: "fastcgi://172.28.0.3:9000", host: "api.cantabria-labs.local", referrer: "https://localhost:4201/app/users"
